,C,Mn,Si,P,S,Cr,Ni,Cu,Al,V,Ti,Nb,Mo,N,B,марка стали
52,0.11,1.22,0.13,0.007,0.007,0.07,0.09,0.17,0.02,0.03,0.01,0.03,0.0,0.007,0.0,12ГА
53,0.37,1.52,0.48,0.009,0.005,0.1,0.12,0.23,0.04,0.05,0.0,0.0,0.0,0.004,0.0,38Г2СФ
54,0.1225,0.515,0.28,0.0095,0.008,0.865,0.1315,0.096,0.038,0.074,0.0075,0.0475,0.1335,0.00615,0.0,10Х1МФБ
55,0.395,1.74,0.56,0.016,0.0035,0.055,0.045,0.035,,0.0,0.0,0.0,0.0,0.004,0.0,38Г2С-В
56,0.39,1.33,0.625,0.01,0.009,0.105,0.125,0.175,0.022,0.04,0.0,0.0,0.02,0.01,0.0,38г2с
57,0.07,0.85,0.29,0.008,0.005,0.53,0.12,0.2,0.04,0.05,0.02,0.0,0.01,0.008,0.0,08ХГФБ
58,0.205,1.465,0.26,0.011,0.0055,0.175,0.085,0.115,0.028,0.12,0.0015,0.002,0.0115,0.008,0.0,18ГФ
59,0.07,0.88,0.27,0.008,0.009,0.58,0.13,0.18,0.03,0.05,0.02,0.04,0.09,0.008,0.0,08ХГМФБ
60,0.3,1.38,0.37,0.01,0.007,0.12,0.12,0.21,,0.09,0.0,0.02,0.0,0.007,0.0,32Г2СФБ
61,0.11,0.885,0.28,0.0115,0.003,0.135,0.18,0.165,0.038,0.06,0.0,0.0,0.0,0.004,0.0,12ГФ
62,0.14,0.54,0.35,0.009,0.004,4.68,0.06,0.04,0.032,0.04,0.0,0.033,0.43,0.007,0.0,15Х5МФБ
63,0.37,1.36,0.35,0.007,0.005,1.06,0.12,0.2,0.03,0.06,0.0,0.0,0.0,0.007,0.0,36ХГФ
64,0.29,1.4,0.29,0.01,0.008,0.12,0.12,0.23,0.03,0.005,0.005,0.01,0.0,0.009,0.0,30Г3
65,0.39,1.36,0.6,0.011,0.012,0.13,0.12,0.18,0.032,0.04,0.0,0.0,0.02,0.012,0.0,38г2с-9
66,0.29,1.01,0.25,0.009,0.004,0.7,0.03,0.03,0.033,0.0,0.0,0.0,0.15,0.007,0.0,30ХГМА 
67,0.22,1.34,0.27,0.008,0.009,0.33,0.12,0.19,0.03,0.003,0.01,0.003,0.02,0.009,0.0,20Г2-1
68,0.37,1.46,0.61,0.011,0.013,0.21,0.12,0.17,0.04,0.03,0.0,0.0,0.0,0.011,0.0,38Г2-4
69,0.34,1.47,0.29,0.011,0.006,0.13,0.14,0.17,0.02,0.06,0.04,0.0,0.0,0.004,0.0,37Г2Ф-М
70,0.33,0.55,0.21,0.012,0.009,0.61,0.09,0.13,0.028,0.068,0.0,0.0,0.17,0.004,0.0,35ХМФA
71,0.09,1.3,0.31,0.009,0.011,0.11,0.13,0.18,0.03,0.0,0.01,0.002,0.02,0.008,0.0,10Г2
